Using dataset of 200 samples for training.
✅ Found 200 pairs out of 200 listed in CSV.
Using cpu device
Logging to runs/601mft6k/PPO_1
---------------------------------
| rollout/           |          |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 313          |
|    time_elapsed         | 1133         |
|    total_timesteps      | 641024       |
| train/                  |              |
|    approx_kl            | 0.0019224376 |
|    clip_fraction        | 0.0825       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.668       |
|    explained_variance   | 0.04         |
|    learning_rate        | 0.0003       |
|    loss                 | 32.7         |
|    n_updates            | 3120         |
|    policy_gradient_loss | 0.001        |
|    value_loss           | 63.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -35.4        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 314          |
|    time_elapsed         | 1136         |
|    total_timesteps      | 643072       |
| train/                  |              |
|    approx_kl            | 0.0032299869 |
|    clip_fraction        | 0.0324       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.683       |
|    explained_variance   | 0.0546       |
|    learning_rate        | 0.0003       |
|    loss                 | 28.6         |
|    n_updates            | 3130         |
|    policy_gradient_loss | 0.00015      |
|    value_loss           | 61.1         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -36.7      |
| time/                   |            |
|    fps                  | 566        |
|    iterations           | 315        |
|    time_elapsed         | 1138       |
|    total_timesteps      | 645120     |
| train/                  |            |
|    approx_kl            | 0.13132516 |
|    clip_fraction        | 0.185      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.685     |
|    explained_variance   | 0.0677     |
|    learning_rate        | 0.0003     |
|    loss                 | 29.4       |
|    n_updates            | 3140       |
|    policy_gradient_loss | 0.0146     |
|    value_loss           | 57.7       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -39.4       |
| time/                   |             |
|    fps                  | 567         |
|    iterations           | 316         |
|    time_elapsed         | 1141        |
|    total_timesteps      | 647168      |
| train/                  |             |
|    approx_kl            | 0.008466616 |
|    clip_fraction        | 0.0324      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.272      |
|    explained_variance   | 0.0487      |
|    learning_rate        | 0.0003      |
|    loss                 | 28.3        |
|    n_updates            | 3150        |
|    policy_gradient_loss | 0.00122     |
|    value_loss           | 54.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -41.5       |
| time/                   |             |
|    fps                  | 567         |
|    iterations           | 317         |
|    time_elapsed         | 1144        |
|    total_timesteps      | 649216      |
| train/                  |             |
|    approx_kl            | 0.017620565 |
|    clip_fraction        | 0.0644      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.319      |
|    explained_variance   | 0.0688      |
|    learning_rate        | 0.0003      |
|    loss                 | 29.7        |
|    n_updates            | 3160        |
|    policy_gradient_loss | -0.00124    |
|    value_loss           | 61.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -41.9        |
| time/                   |              |
|    fps                  | 567          |
|    iterations           | 318          |
|    time_elapsed         | 1146         |
|    total_timesteps      | 651264       |
| train/                  |              |
|    approx_kl            | 0.0008582388 |
|    clip_fraction        | 0.0297       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.26        |
|    explained_variance   | 0.0677       |
|    learning_rate        | 0.0003       |
|    loss                 | 31.9         |
|    n_updates            | 3170         |
|    policy_gradient_loss | 0.00205      |
|    value_loss           | 63.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -41.3        |
| time/                   |              |
|    fps                  | 568          |
|    iterations           | 319          |
|    time_elapsed         | 1149         |
|    total_timesteps      | 653312       |
| train/                  |              |
|    approx_kl            | 0.0029595224 |
|    clip_fraction        | 0.0504       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.298       |
|    explained_variance   | 0.111        |
|    learning_rate        | 0.0003       |
|    loss                 | 31.8         |
|    n_updates            | 3180         |
|    policy_gradient_loss | 0.000201     |
|    value_loss           | 62.9         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -41.5         |
| time/                   |               |
|    fps                  | 568           |
|    iterations           | 320           |
|    time_elapsed         | 1152          |
|    total_timesteps      | 655360        |
| train/                  |               |
|    approx_kl            | 0.00056030066 |
|    clip_fraction        | 0.0185        |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.293        |
|    explained_variance   | 0.115         |
|    learning_rate        | 0.0003        |
|    loss                 | 33.6          |
|    n_updates            | 3190          |
|    policy_gradient_loss | 0.000988      |
|    value_loss           | 64.9          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -41.5        |
| time/                   |              |
|    fps                  | 569          |
|    iterations           | 321          |
|    time_elapsed         | 1154         |
|    total_timesteps      | 657408       |
| train/                  |              |
|    approx_kl            | 0.0102603175 |
|    clip_fraction        | 0.0436       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.29        |
|    explained_variance   | 0.0851       |
|    learning_rate        | 0.0003       |
|    loss                 | 40.4         |
|    n_updates            | 3200         |
|    policy_gradient_loss | 0.000608     |
|    value_loss           | 73.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -41.8       |
| time/                   |             |
|    fps                  | 569         |
|    iterations           | 322         |
|    time_elapsed         | 1157        |
|    total_timesteps      | 659456      |
| train/                  |             |
|    approx_kl            | 0.009297202 |
|    clip_fraction        | 0.0454      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.244      |
|    explained_variance   | 0.0402      |
|    learning_rate        | 0.0003      |
|    loss                 | 33.4        |
|    n_updates            | 3210        |
|    policy_gradient_loss | 0.0016      |
|    value_loss           | 67.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -40.6       |
| time/                   |             |
|    fps                  | 570         |
|    iterations           | 323         |
|    time_elapsed         | 1159        |
|    total_timesteps      | 661504      |
| train/                  |             |
|    approx_kl            | 0.017673753 |
|    clip_fraction        | 0.0458      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.262      |
|    explained_variance   | 0.0676      |
|    learning_rate        | 0.0003      |
|    loss                 | 40.4        |
|    n_updates            | 3220        |
|    policy_gradient_loss | 0.00273     |
|    value_loss           | 76.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -39.6        |
| time/                   |              |
|    fps                  | 570          |
|    iterations           | 324          |
|    time_elapsed         | 1162         |
|    total_timesteps      | 663552       |
| train/                  |              |
|    approx_kl            | 0.0077253375 |
|    clip_fraction        | 0.0597       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.366       |
|    explained_variance   | 0.0986       |
|    learning_rate        | 0.0003       |
|    loss                 | 36           |
|    n_updates            | 3230         |
|    policy_gradient_loss | -1.14e-05    |
|    value_loss           | 72.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -39.9       |
| time/                   |             |
|    fps                  | 571         |
|    iterations           | 325         |
|    time_elapsed         | 1165        |
|    total_timesteps      | 665600      |
| train/                  |             |
|    approx_kl            | 0.009295643 |
|    clip_fraction        | 0.0388      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.392      |
|    explained_variance   | 0.0957      |
|    learning_rate        | 0.0003      |
|    loss                 | 34.2        |
|    n_updates            | 3240        |
|    policy_gradient_loss | 0.000964    |
|    value_loss           | 69.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -39.5        |
| time/                   |              |
|    fps                  | 571          |
|    iterations           | 326          |
|    time_elapsed         | 1167         |
|    total_timesteps      | 667648       |
| train/                  |              |
|    approx_kl            | 0.0030294838 |
|    clip_fraction        | 0.0312       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.366       |
|    explained_variance   | 0.0724       |
|    learning_rate        | 0.0003       |
|    loss                 | 35.8         |
|    n_updates            | 3250         |
|    policy_gradient_loss | 0.000928     |
|    value_loss           | 71.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -40         |
| time/                   |             |
|    fps                  | 572         |
|    iterations           | 327         |
|    time_elapsed         | 1170        |
|    total_timesteps      | 669696      |
| train/                  |             |
|    approx_kl            | 0.021161895 |
|    clip_fraction        | 0.0851      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.431      |
|    explained_variance   | 0.0945      |
|    learning_rate        | 0.0003      |
|    loss                 | 33.5        |
|    n_updates            | 3260        |
|    policy_gradient_loss | 0.0073      |
|    value_loss           | 62.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -40.8       |
| time/                   |             |
|    fps                  | 572         |
|    iterations           | 328         |
|    time_elapsed         | 1172        |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.004987415 |
|    clip_fraction        | 0.0353      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.224      |
|    explained_variance   | 0.107       |
|    learning_rate        | 0.0003      |
|    loss                 | 36.3        |
|    n_updates            | 3270        |
|    policy_gradient_loss | 0.00242     |
|    value_loss           | 69.8        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -41.3        |
| time/                   |              |
|    fps                  | 573          |
|    iterations           | 329          |
|    time_elapsed         | 1174         |
|    total_timesteps      | 673792       |
| train/                  |              |
|    approx_kl            | 0.0006238507 |
|    clip_fraction        | 0.0337       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.277       |
|    explained_variance   | 0.109        |
|    learning_rate        | 0.0003       |
|    loss                 | 36.3         |
|    n_updates            | 3280         |
|    policy_gradient_loss | 0.000271     |
|    value_loss           | 69.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -40.8        |
| time/                   |              |
|    fps                  | 573          |
|    iterations           | 330          |
|    time_elapsed         | 1177         |
|    total_timesteps      | 675840       |
| train/                  |              |
|    approx_kl            | 0.0033623446 |
|    clip_fraction        | 0.025        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.296       |
|    explained_variance   | 0.0702       |
|    learning_rate        | 0.0003       |
|    loss                 | 34.2         |
|    n_updates            | 3290         |
|    policy_gradient_loss | 0.00115      |
|    value_loss           | 68.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -39.8        |
| time/                   |              |
|    fps                  | 574          |
|    iterations           | 331          |
|    time_elapsed         | 1179         |
|    total_timesteps      | 677888       |
| train/                  |              |
|    approx_kl            | 0.0031801718 |
|    clip_fraction        | 0.0319       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.345       |
|    explained_variance   | 0.0898       |
|    learning_rate        | 0.0003       |
|    loss                 | 33.3         |
|    n_updates            | 3300         |
|    policy_gradient_loss | 0.0013       |
|    value_loss           | 68.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -39.9        |
| time/                   |              |
|    fps                  | 574          |
|    iterations           | 332          |
|    time_elapsed         | 1182         |
|    total_timesteps      | 679936       |
| train/                  |              |
|    approx_kl            | 0.0035008462 |
|    clip_fraction        | 0.0737       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.467       |
|    explained_variance   | 0.0404       |
|    learning_rate        | 0.0003       |
|    loss                 | 39           |
|    n_updates            | 3310         |
|    policy_gradient_loss | 0.00312      |
|    value_loss           | 78.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -35.9        |
| time/                   |              |
|    fps                  | 575          |
|    iterations           | 333          |
|    time_elapsed         | 1185         |
|    total_timesteps      | 681984       |
| train/                  |              |
|    approx_kl            | 0.0077920835 |
|    clip_fraction        | 0.0243       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.407       |
|    explained_variance   | 0.0768       |
|    learning_rate        | 0.0003       |
|    loss                 | 34.1         |
|    n_updates            | 3320         |
|    policy_gradient_loss | -0.000248    |
|    value_loss           | 64.1         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -35.9      |
| time/                   |            |
|    fps                  | 575        |
|    iterations           | 334        |
|    time_elapsed         | 1188       |
|    total_timesteps      | 684032     |
| train/                  |            |
|    approx_kl            | 0.09688276 |
|    clip_fraction        | 0.619      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.799     |
|    explained_variance   | -0.00639   |
|    learning_rate        | 0.0003     |
|    loss                 | 31.4       |
|    n_updates            | 3330       |
|    policy_gradient_loss | 0.103      |
|    value_loss           | 65.3       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -39.2      |
| time/                   |            |
|    fps                  | 576        |
|    iterations           | 335        |
|    time_elapsed         | 1190       |
|    total_timesteps      | 686080     |
| train/                  |            |
|    approx_kl            | 0.04906269 |
|    clip_fraction        | 0.103      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.251     |
|    explained_variance   | 0.0342     |
|    learning_rate        | 0.0003     |
|    loss                 | 31.4       |
|    n_updates            | 3340       |
|    policy_gradient_loss | 0.0161     |
|    value_loss           | 62.5       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -42.1        |
| time/                   |              |
|    fps                  | 576          |
|    iterations           | 336          |
|    time_elapsed         | 1193         |
|    total_timesteps      | 688128       |
| train/                  |              |
|    approx_kl            | 0.0030001667 |
|    clip_fraction        | 0.0386       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.22        |
|    explained_variance   | 0.0597       |
|    learning_rate        | 0.0003       |
|    loss                 | 35.5         |
|    n_updates            | 3350         |
|    policy_gradient_loss | 0.00297      |
|    value_loss           | 69.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -42.6        |
| time/                   |              |
|    fps                  | 576          |
|    iterations           | 337          |
|    time_elapsed         | 1196         |
|    total_timesteps      | 690176       |
| train/                  |              |
|    approx_kl            | 0.0044399444 |
|    clip_fraction        | 0.03         |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.215       |
|    explained_variance   | 0.0493       |
|    learning_rate        | 0.0003       |
|    loss                 | 40.4         |
|    n_updates            | 3360         |
|    policy_gradient_loss | -0.00045     |
|    value_loss           | 79           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -42.3       |
| time/                   |             |
|    fps                  | 577         |
|    iterations           | 338         |
|    time_elapsed         | 1198        |
|    total_timesteps      | 692224      |
| train/                  |             |
|    approx_kl            | 0.009301993 |
|    clip_fraction        | 0.0334      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.226      |
|    explained_variance   | 0.0729      |
|    learning_rate        | 0.0003      |
|    loss                 | 39.6        |
|    n_updates            | 3370        |
|    policy_gradient_loss | 0.000467    |
|    value_loss           | 75.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -42.1       |
| time/                   |             |
|    fps                  | 577         |
|    iterations           | 339         |
|    time_elapsed         | 1201        |
|    total_timesteps      | 694272      |
| train/                  |             |
|    approx_kl            | 0.001141056 |
|    clip_fraction        | 0.0135      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.267      |
|    explained_variance   | 0.0812      |
|    learning_rate        | 0.0003      |
|    loss                 | 40.8        |
|    n_updates            | 3380        |
|    policy_gradient_loss | 0.000683    |
|    value_loss           | 79.7        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -42.2        |
| time/                   |              |
|    fps                  | 578          |
|    iterations           | 340          |
|    time_elapsed         | 1203         |
|    total_timesteps      | 696320       |
| train/                  |              |
|    approx_kl            | 0.0041791103 |
|    clip_fraction        | 0.0466       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.26        |
|    explained_variance   | 0.0927       |
|    learning_rate        | 0.0003       |
|    loss                 | 35.1         |
|    n_updates            | 3390         |
|    policy_gradient_loss | 0.0016       |
|    value_loss           | 72.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43          |
| time/                   |              |
|    fps                  | 577          |
|    iterations           | 341          |
|    time_elapsed         | 1208         |
|    total_timesteps      | 698368       |
| train/                  |              |
|    approx_kl            | 0.0004527795 |
|    clip_fraction        | 0.0125       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.145       |
|    explained_variance   | 0.075        |
|    learning_rate        | 0.0003       |
|    loss                 | 33.1         |
|    n_updates            | 3400         |
|    policy_gradient_loss | 0.00153      |
|    value_loss           | 67.9         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -43.1      |
| time/                   |            |
|    fps                  | 577        |
|    iterations           | 342        |
|    time_elapsed         | 1213       |
|    total_timesteps      | 700416     |
| train/                  |            |
|    approx_kl            | 0.00888102 |
|    clip_fraction        | 0.0241     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.201     |
|    explained_variance   | 0.117      |
|    learning_rate        | 0.0003     |
|    loss                 | 31.5       |
|    n_updates            | 3410       |
|    policy_gradient_loss | 0.0017     |
|    value_loss           | 63.7       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43          |
| time/                   |              |
|    fps                  | 577          |
|    iterations           | 343          |
|    time_elapsed         | 1216         |
|    total_timesteps      | 702464       |
| train/                  |              |
|    approx_kl            | 0.0040590926 |
|    clip_fraction        | 0.0178       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.199       |
|    explained_variance   | 0.0632       |
|    learning_rate        | 0.0003       |
|    loss                 | 40.6         |
|    n_updates            | 3420         |
|    policy_gradient_loss | -0.000117    |
|    value_loss           | 73.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -43.3        |
| time/                   |              |
|    fps                  | 578          |
|    iterations           | 344          |
|    time_elapsed         | 1218         |
|    total_timesteps      | 704512       |
| train/                  |              |
|    approx_kl            | 0.0021471153 |
|    clip_fraction        | 0.0226       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.204       |
|    explained_variance   | 0.118        |
|    learning_rate        | 0.0003       |
|    loss                 | 31.7         |
|    n_updates            | 3430         |
|    policy_gradient_loss | 0.000261     |
|    value_loss           | 61.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -43.2         |
| time/                   |               |
|    fps                  | 578           |
|    iterations           | 345           |
|    time_elapsed         | 1221          |
|    total_timesteps      | 706560        |
| train/                  |               |
|    approx_kl            | 0.00070850365 |
|    clip_fraction        | 0.0219        |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.182        |
|    explained_variance   | 0.0745        |
|    learning_rate        | 0.0003        |
|    loss                 | 37.4          |
|    n_updates            | 3440          |
|    policy_gradient_loss | 0.0016        |
|    value_loss           | 73.8          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -42.8        |
| time/                   |              |
|    fps                  | 579          |
|    iterations           | 346          |
|    time_elapsed         | 1223         |
|    total_timesteps      | 708608       |
| train/                  |              |
|    approx_kl            | 0.0017847213 |
|    clip_fraction        | 0.0142       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.211       |
|    explained_variance   | 0.0741       |
|    learning_rate        | 0.0003       |
|    loss                 | 39.9         |
|    n_updates            | 3450         |
|    policy_gradient_loss | -0.000192    |
|    value_loss           | 79.5         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -42.3       |
| time/                   |             |
|    fps                  | 578         |
|    iterations           | 347         |
|    time_elapsed         | 1227        |
|    total_timesteps      | 710656      |
| train/                  |             |
|    approx_kl            | 0.010857435 |
|    clip_fraction        | 0.0253      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.231      |
|    explained_variance   | 0.0776      |
|    learning_rate        | 0.0003      |
|    loss                 | 41.3        |
|    n_updates            | 3460        |
|    policy_gradient_loss | 0.000134    |
|    value_loss           | 80.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -42.2        |
| time/                   |              |
|    fps                  | 579          |
|    iterations           | 348          |
|    time_elapsed         | 1230         |
|    total_timesteps      | 712704       |
| train/                  |              |
|    approx_kl            | 0.0006879759 |
|    clip_fraction        | 0.0108       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.198       |
|    explained_variance   | 0.0661       |
|    learning_rate        | 0.0003       |
|    loss                 | 36.3         |
|    n_updates            | 3470         |
|    policy_gradient_loss | 1.51e-05     |
|    value_loss           | 74.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -41.8        |
| time/                   |              |
|    fps                  | 579          |
|    iterations           | 349          |
|    time_elapsed         | 1233         |
|    total_timesteps      | 714752       |
| train/                  |              |
|    approx_kl            | 0.0022158327 |
|    clip_fraction        | 0.0149       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.235       |
|    explained_variance   | 0.0595       |
|    learning_rate        | 0.0003       |
|    loss                 | 37.4         |
|    n_updates            | 3480         |
|    policy_gradient_loss | 0.0009       |
|    value_loss           | 73.9         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 50            |
|    ep_rew_mean          | -41.2         |
| time/                   |               |
|    fps                  | 579           |
|    iterations           | 350           |
|    time_elapsed         | 1236          |
|    total_timesteps      | 716800        |
| train/                  |               |
|    approx_kl            | 0.00090831146 |
|    clip_fraction        | 0.03          |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.285        |
|    explained_variance   | 0.0682        |
|    learning_rate        | 0.0003        |
|    loss                 | 37.9          |
|    n_updates            | 3490          |
|    policy_gradient_loss | 0.000376      |
|    value_loss           | 73.2          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -41.3        |
| time/                   |              |
|    fps                  | 580          |
|    iterations           | 351          |
|    time_elapsed         | 1238         |
|    total_timesteps      | 718848       |
| train/                  |              |
|    approx_kl            | 0.0020936918 |
|    clip_fraction        | 0.0331       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.267       |
|    explained_variance   | 0.0709       |
|    learning_rate        | 0.0003       |
|    loss                 | 33.8         |
|    n_updates            | 3500         |
|    policy_gradient_loss | 2.4e-05      |
|    value_loss           | 65.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -42          |
| time/                   |              |
|    fps                  | 580          |
|    iterations           | 352          |
|    time_elapsed         | 1241         |
|    total_timesteps      | 720896       |
| train/                  |              |
|    approx_kl            | 0.0031890776 |
|    clip_fraction        | 0.0308       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.227       |
|    explained_variance   | 0.0651       |
|    learning_rate        | 0.0003       |
|    loss                 | 34           |
|    n_updates            | 3510         |
|    policy_gradient_loss | 0.000762     |
|    value_loss           | 69.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -41.9       |
| time/                   |             |
|    fps                  | 581         |
|    iterations           | 353         |
|    time_elapsed         | 1243        |
|    total_timesteps      | 722944      |
| train/                  |             |
|    approx_kl            | 0.008194445 |
|    clip_fraction        | 0.0546      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.291      |
|    explained_variance   | 0.0958      |
|    learning_rate        | 0.0003      |
|    loss                 | 36.3        |
|    n_updates            | 3520        |
|    policy_gradient_loss | 0.00289     |
|    value_loss           | 70.8        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -40.3        |
| time/                   |              |
|    fps                  | 581          |
|    iterations           | 354          |
|    time_elapsed         | 1246         |
|    total_timesteps      | 724992       |
| train/                  |              |
|    approx_kl            | 0.0031625158 |
|    clip_fraction        | 0.0404       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.259       |
|    explained_variance   | 0.0737       |
|    learning_rate        | 0.0003       |
|    loss                 | 38.1         |
|    n_updates            | 3530         |
|    policy_gradient_loss | 0.000968     |
|    value_loss           | 74.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -38.4       |
| time/                   |             |
|    fps                  | 581         |
|    iterations           | 355         |
|    time_elapsed         | 1249        |
|    total_timesteps      | 727040      |
| train/                  |             |
|    approx_kl            | 0.017094444 |
|    clip_fraction        | 0.0787      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.375      |
|    explained_variance   | 0.0412      |
|    learning_rate        | 0.0003      |
|    loss                 | 39.6        |
|    n_updates            | 3540        |
|    policy_gradient_loss | 0.00358     |
|    value_loss           | 80.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -37.2       |
| time/                   |             |
|    fps                  | 582         |
|    iterations           | 356         |
|    time_elapsed         | 1251        |
|    total_timesteps      | 729088      |
| train/                  |             |
|    approx_kl            | 0.011500236 |
|    clip_fraction        | 0.0657      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.484      |
|    explained_variance   | 0.0665      |
|    learning_rate        | 0.0003      |
|    loss                 | 39.4        |
|    n_updates            | 3550        |
|    policy_gradient_loss | 0.00346     |
|    value_loss           | 78.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -36.9       |
| time/                   |             |
|    fps                  | 582         |
|    iterations           | 357         |
|    time_elapsed         | 1254        |
|    total_timesteps      | 731136      |
| train/                  |             |
|    approx_kl            | 0.053574473 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.496      |
|    explained_variance   | 0.0871      |
|    learning_rate        | 0.0003      |
|    loss                 | 29.4        |
|    n_updates            | 3560        |
|    policy_gradient_loss | 0.0177      |
|    value_loss           | 61.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -37.5       |
| time/                   |             |
|    fps                  | 583         |
|    iterations           | 358         |
|    time_elapsed         | 1257        |
|    total_timesteps      | 733184      |
| train/                  |             |
|    approx_kl            | 0.046985783 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.343      |
|    explained_variance   | 0.0644      |
|    learning_rate        | 0.0003      |
|    loss                 | 28.1        |
|    n_updates            | 3570        |
|    policy_gradient_loss | 0.0142      |
|    value_loss           | 56          |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -39.2        |
| time/                   |              |
|    fps                  | 583          |
|    iterations           | 359          |
|    time_elapsed         | 1260         |
|    total_timesteps      | 735232       |
| train/                  |              |
